Codeforces Handle: 21r01a7201, Codeforces URL: https://codeforces.com/profile/CMRIT25_21R01A7201, Codeforces URL Exists: False
GeeksForGeeks Handle: CMRIT25_21r01a05h7, GeeksForGeeks URL: https://auth.geeksforgeeks.org/?to=https://auth.geeksforgeeks.org/profile.php, GeeksForGeeks URL Exists: False
LeetCode Handle: 21r01a05h7, LeetCode URL: https://leetcode.com/21r01a05h7/, LeetCode URL Exists: False
CodeChef Handle: sharanya34, CodeChef URL: https://www.codechef.com/users/sharanya34, CodeChef URL Exists: True
HackerRank Handle: 21r01a05h7, HackerRank URL: https://www.hackerrank.com/profile/21r01a05h7, HackerRank URL Exists: True
Codeforces Handle: 21r01a05h8, Codeforces URL: https://codeforces.com/, Codeforces URL Exists: False
GeeksForGeeks Handle: CMRIT25_21R01A05H8, GeeksForGeeks URL: https://auth.geeksforgeeks.org/?to=https://auth.geeksforgeeks.org/profile.php, GeeksForGeeks URL Exists: False
LeetCode Handle: 21r01a05h8, LeetCode URL: https://leetcode.com/21r01a05h8/, LeetCode URL Exists: False
CodeChef Handle: cmr_21r01a05h8, CodeChef URL: https://www.codechef.com/users/cmr_21r01a05h8, CodeChef URL Exists: True
HackerRank Handle: 21r01a05h8, HackerRank URL: https://www.hackerrank.com/profile/21r01a05h8, HackerRank URL Exists: True
Codeforces Handle: #N/A, Codeforces URL: N/A, Codeforces URL Exists: False
GeeksForGeeks Handle: #N/A, GeeksForGeeks URL: N/A, GeeksForGeeks URL Exists: False
LeetCode Handle: #N/A, LeetCode URL: N/A, LeetCode URL Exists: False
CodeChef Handle: #N/A, CodeChef URL: N/A, CodeChef URL Exists: False
HackerRank Handle: #N/A, HackerRank URL: N/A, HackerRank URL Exists: False
Codeforces Handle: 21r01a05j0, Codeforces URL: https://codeforces.com/, Codeforces URL Exists: False
GeeksForGeeks Handle: CMRIT25_21R01A05J0, GeeksForGeeks URL: https://auth.geeksforgeeks.org/?to=https://auth.geeksforgeeks.org/profile.php, GeeksForGeeks URL Exists: False
LeetCode Handle: 21r01a05j0, LeetCode URL: https://leetcode.com/21r01a05j0/, LeetCode URL Exists: False
CodeChef Handle: sr21r01a05j0, CodeChef URL: https://www.codechef.com/users/sr21r01a05j0, CodeChef URL Exists: True
HackerRank Handle: 21R01A05J0, HackerRank URL: https://www.hackerrank.com/profile/21R01A05J0, HackerRank URL Exists: True
Codeforces Handle: 21r01a05j1, Codeforces URL: https://codeforces.com/, Codeforces URL Exists: False
GeeksForGeeks Handle: CMRIT25_21R01A05J1, GeeksForGeeks URL: https://auth.geeksforgeeks.org/?to=https://auth.geeksforgeeks.org/profile.php, GeeksForGeeks URL Exists: False
LeetCode Handle: 21r01a05j1, LeetCode URL: https://leetcode.com/21r01a05j1/, LeetCode URL Exists: False
CodeChef Handle: srikar741, CodeChef URL: https://www.codechef.com/users/srikar741, CodeChef URL Exists: True
HackerRank Handle: 21r01a05j1, HackerRank URL: https://www.hackerrank.com/profile/21r01a05j1, HackerRank URL Exists: True
Codeforces Handle: 21r01A05j2, Codeforces URL: https://codeforces.com/profile/21r01A05j2, Codeforces URL Exists: True
GeeksForGeeks Handle: 21r01A05j2, GeeksForGeeks URL: https://auth.geeksforgeeks.org/?to=https://auth.geeksforgeeks.org/profile.php, GeeksForGeeks URL Exists: False
LeetCode Handle: 21R01A05J2, LeetCode URL: https://leetcode.com/21R01A05J2/, LeetCode URL Exists: False
CodeChef Handle: ahmed4849, CodeChef URL: https://www.codechef.com/users/ahmed4849, CodeChef URL Exists: True
HackerRank Handle: 21R01A05J2, HackerRank URL: https://www.hackerrank.com/profile/21R01A05J2, HackerRank URL Exists: True
Codeforces Handle: 21r01a05j3, Codeforces URL: https://codeforces.com/, Codeforces URL Exists: False
GeeksForGeeks Handle: CMRIT25_21R01A05J3, GeeksForGeeks URL: https://auth.geeksforgeeks.org/?to=https://auth.geeksforgeeks.org/profile.php, GeeksForGeeks URL Exists: False
LeetCode Handle: 21R01A05J3, LeetCode URL: https://leetcode.com/21R01A05J3/, LeetCode URL Exists: False
CodeChef Handle: sravani173, CodeChef URL: https://www.codechef.com/users/sravani173, CodeChef URL Exists: True
HackerRank Handle: 21r01a05j3, HackerRank URL: https://www.hackerrank.com/profile/21r01a05j3, HackerRank URL Exists: True
Codeforces Handle: 21r01a05j4, Codeforces URL: https://codeforces.com/, Codeforces URL Exists: False
GeeksForGeeks Handle: cmrit25_21r01a05j4, GeeksForGeeks URL: https://auth.geeksforgeeks.org/?to=https://auth.geeksforgeeks.org/profile.php, GeeksForGeeks URL Exists: False
LeetCode Handle: gopikrishna, LeetCode URL: https://leetcode.com/gopikrishna/, LeetCode URL Exists: False
CodeChef Handle: r01a05j4, CodeChef URL: https://www.codechef.com/users/r01a05j4, CodeChef URL Exists: True
HackerRank Handle: 21r01a05j4, HackerRank URL: https://www.hackerrank.com/profile/21r01a05j4, HackerRank URL Exists: True
Codeforces Handle: 21r01a05j5, Codeforces URL: https://codeforces.com/, Codeforces URL Exists: False
GeeksForGeeks Handle: CMRIT25_21R01A05J5, GeeksForGeeks URL: https://auth.geeksforgeeks.org/?to=https://auth.geeksforgeeks.org/profile.php, GeeksForGeeks URL Exists: False
LeetCode Handle: sreenath_5j5, LeetCode URL: https://leetcode.com/sreenath_5j5/, LeetCode URL Exists: False
CodeChef Handle: Sreenath_5j5, CodeChef URL: https://www.codechef.com/users/Sreenath_5j5, CodeChef URL Exists: True
HackerRank Handle: 21r01a05j5, HackerRank URL: https://www.hackerrank.com/profile/21r01a05j5, HackerRank URL Exists: True
Codeforces Handle: 21r01awu1y, Codeforces URL: https://codeforces.com/, Codeforces URL Exists: False
GeeksForGeeks Handle: CMRIT25_21r01a05j6, GeeksForGeeks URL: https://auth.geeksforgeeks.org/?to=https://auth.geeksforgeeks.org/profile.php, GeeksForGeeks URL Exists: False
LeetCode Handle: 21r01a05j6, LeetCode URL: https://leetcode.com/21r01a05j6/, LeetCode URL Exists: False
CodeChef Handle: hima21r01a05j6, CodeChef URL: https://www.codechef.com/users/hima21r01a05j6, CodeChef URL Exists: True
HackerRank Handle: 21r01a05j6, HackerRank URL: https://www.hackerrank.com/profile/21r01a05j6, HackerRank URL Exists: True
Codeforces Handle: 21r01a05j7, Codeforces URL: https://codeforces.com/profile/21r01a05j7, Codeforces URL Exists: True
GeeksForGeeks Handle: Vishnuabhi, GeeksForGeeks URL: https://auth.geeksforgeeks.org/?to=https://auth.geeksforgeeks.org/profile.php, GeeksForGeeks URL Exists: False
LeetCode Handle: cmr_21r01a05j7, LeetCode URL: https://leetcode.com/cmr_21r01a05j7/, LeetCode URL Exists: False
CodeChef Handle: vishnu_5j7, CodeChef URL: https://www.codechef.com/users/vishnu_5j7, CodeChef URL Exists: True
HackerRank Handle: Vishnu_5j7, HackerRank URL: https://www.hackerrank.com/profile/Vishnu_5j7, HackerRank URL Exists: True
Codeforces Handle: 21r01aq09q, Codeforces URL: https://codeforces.com/, Codeforces URL Exists: False
GeeksForGeeks Handle: CMRIT25_21R01A05J8, GeeksForGeeks URL: https://auth.geeksforgeeks.org/?to=https://auth.geeksforgeeks.org/profile.php, GeeksForGeeks URL Exists: False
LeetCode Handle: 21R01A05J8lt, LeetCode URL: https://leetcode.com/21R01A05J8lt/, LeetCode URL Exists: False
CodeChef Handle: tevinj8, CodeChef URL: https://www.codechef.com/users/tevinj8, CodeChef URL Exists: True
HackerRank Handle: HckrJ8, HackerRank URL: https://www.hackerrank.com/profile/HckrJ8, HackerRank URL Exists: True
Codeforces Handle: 21r01a05k0, Codeforces URL: https://codeforces.com/profile/21r01a05k0, Codeforces URL Exists: True
GeeksForGeeks Handle: 21R01A05K0, GeeksForGeeks URL: https://auth.geeksforgeeks.org/user/21R01A05K0, GeeksForGeeks URL Exists: True
LeetCode Handle: Cmr_21r01a05k0, LeetCode URL: https://leetcode.com/Cmr_21r01a05k0/, LeetCode URL Exists: False
CodeChef Handle: cmr_21r01a05k0, CodeChef URL: https://www.codechef.com/, CodeChef URL Exists: False
HackerRank Handle: 21r01a05k0, HackerRank URL: https://www.hackerrank.com/profile/21r01a05k0, HackerRank URL Exists: True
Codeforces Handle: 21R01A05K1, Codeforces URL: https://codeforces.com/, Codeforces URL Exists: False
GeeksForGeeks Handle: V.Preethi, GeeksForGeeks URL: https://auth.geeksforgeeks.org/?to=https://auth.geeksforgeeks.org/profile.php, GeeksForGeeks URL Exists: False
LeetCode Handle: 21R01A05K1, LeetCode URL: https://leetcode.com/21R01A05K1/, LeetCode URL Exists: False
CodeChef Handle: preethivarthya, CodeChef URL: https://www.codechef.com/users/preethivarthya, CodeChef URL Exists: True
HackerRank Handle: 21R01A05K1PREETHI, HackerRank URL: https://www.hackerrank.com/profile/21R01A05K1PREETHI, HackerRank URL Exists: True
Codeforces Handle: 21r01a05k3, Codeforces URL: https://codeforces.com/, Codeforces URL Exists: False
GeeksForGeeks Handle: CMRIT25_21R01A05K3, GeeksForGeeks URL: https://auth.geeksforgeeks.org/?to=https://auth.geeksforgeeks.org/profile.php, GeeksForGeeks URL Exists: False
LeetCode Handle: 21r01a05k3, LeetCode URL: https://leetcode.com/21r01a05k3/, LeetCode URL Exists: False
CodeChef Handle: ruthvik5k3, CodeChef URL: https://www.codechef.com/users/ruthvik5k3, CodeChef URL Exists: True
HackerRank Handle: 21r01a05k3, HackerRank URL: https://www.hackerrank.com/profile/21r01a05k3, HackerRank URL Exists: True
Codeforces Handle: 21r01a05k5, Codeforces URL: https://codeforces.com/, Codeforces URL Exists: False
GeeksForGeeks Handle: CMRIT25_21R01A05K5, GeeksForGeeks URL: https://auth.geeksforgeeks.org/?to=https://auth.geeksforgeeks.org/profile.php, GeeksForGeeks URL Exists: False
LeetCode Handle: veerendra74, LeetCode URL: https://leetcode.com/veerendra74/, LeetCode URL Exists: False
CodeChef Handle: veerendra74, CodeChef URL: https://www.codechef.com/users/veerendra74, CodeChef URL Exists: True
HackerRank Handle: 21r01a05k5, HackerRank URL: https://www.hackerrank.com/profile/21r01a05k5, HackerRank URL Exists: True
Codeforces Handle: 21r01a05k6, Codeforces URL: https://codeforces.com/, Codeforces URL Exists: False
GeeksForGeeks Handle: #N/A, GeeksForGeeks URL: N/A, GeeksForGeeks URL Exists: False
LeetCode Handle: 21r01a05k6, LeetCode URL: https://leetcode.com/21r01a05k6/, LeetCode URL Exists: False
CodeChef Handle: cmr_21r01a05k6, CodeChef URL: https://www.codechef.com/users/cmr_21r01a05k6, CodeChef URL Exists: True
HackerRank Handle: 21r01a05k6, HackerRank URL: https://www.hackerrank.com/profile/21r01a05k6, HackerRank URL Exists: True
Codeforces Handle: 21r01a05k7, Codeforces URL: https://codeforces.com/, Codeforces URL Exists: False
GeeksForGeeks Handle: CMRIT25_21R01A05K7, GeeksForGeeks URL: https://auth.geeksforgeeks.org/?to=https://auth.geeksforgeeks.org/profile.php, GeeksForGeeks URL Exists: False
LeetCode Handle: 21r01a05k7, LeetCode URL: https://leetcode.com/21r01a05k7/, LeetCode URL Exists: False
CodeChef Handle: cmrit5k7, CodeChef URL: https://www.codechef.com/users/cmrit5k7, CodeChef URL Exists: True
HackerRank Handle: 21r01a05k7, HackerRank URL: https://www.hackerrank.com/profile/21r01a05k7, HackerRank URL Exists: True
Codeforces Handle: 21r01a05k8, Codeforces URL: https://codeforces.com/, Codeforces URL Exists: False
GeeksForGeeks Handle: CMRIT25_21R01A05K8, GeeksForGeeks URL: https://auth.geeksforgeeks.org/?to=https://auth.geeksforgeeks.org/profile.php, GeeksForGeeks URL Exists: False
LeetCode Handle: 21R01A05K8, LeetCode URL: https://leetcode.com/21R01A05K8/, LeetCode URL Exists: False
CodeChef Handle: srujan_20, CodeChef URL: https://www.codechef.com/users/srujan_20, CodeChef URL Exists: True
HackerRank Handle: 21r01a05K8, HackerRank URL: https://www.hackerrank.com/profile/21r01a05K8, HackerRank URL Exists: True
Codeforces Handle: 21r01a05l0, Codeforces URL: https://codeforces.com/, Codeforces URL Exists: False
GeeksForGeeks Handle: #N/A, GeeksForGeeks URL: N/A, GeeksForGeeks URL Exists: False
LeetCode Handle: ManognaKumar, LeetCode URL: https://leetcode.com/ManognaKumar/, LeetCode URL Exists: False
CodeChef Handle: manognakumar, CodeChef URL: https://www.codechef.com/users/manognakumar, CodeChef URL Exists: True
HackerRank Handle: 21R01A05L0_Manu, HackerRank URL: https://www.hackerrank.com/profile/21R01A05L0_Manu, HackerRank URL Exists: True
Codeforces Handle: 21r01a05l1cmrit, Codeforces URL: https://codeforces.com/, Codeforces URL Exists: False
GeeksForGeeks Handle: #N/A, GeeksForGeeks URL: N/A, GeeksForGeeks URL Exists: False
LeetCode Handle: 21r01a05l1cmrit, LeetCode URL: https://leetcode.com/21r01a05l1cmrit/, LeetCode URL Exists: False
CodeChef Handle: selveenagrace0, CodeChef URL: https://www.codechef.com/users/selveenagrace0, CodeChef URL Exists: True
HackerRank Handle: 21R01A05L1cmrit, HackerRank URL: https://www.hackerrank.com/profile/21R01A05L1cmrit, HackerRank URL Exists: True
Codeforces Handle: cmrit_21r01a05l4, Codeforces URL: https://codeforces.com/profile/cmrit_21r01a05l4, Codeforces URL Exists: True
GeeksForGeeks Handle: CMRIT_21R01a05l4, GeeksForGeeks URL: https://auth.geeksforgeeks.org/user/CMRIT_21R01a05l4, GeeksForGeeks URL Exists: True
LeetCode Handle: CMRIT_HARISH5628, LeetCode URL: https://leetcode.com/CMRIT_HARISH5628/, LeetCode URL Exists: False
CodeChef Handle: CMRIT_harish5628, CodeChef URL: https://www.codechef.com/, CodeChef URL Exists: False
HackerRank Handle: 21r01a05l4, HackerRank URL: https://www.hackerrank.com/profile/21r01a05l4, HackerRank URL Exists: True
Codeforces Handle: 21r01a05l6, Codeforces URL: https://codeforces.com/profile/21r01a05l6, Codeforces URL Exists: True
GeeksForGeeks Handle: CMRIT_21R01A05L6, GeeksForGeeks URL: https://auth.geeksforgeeks.org/?to=https://auth.geeksforgeeks.org/profile.php, GeeksForGeeks URL Exists: False
LeetCode Handle: 21R01A05L6, LeetCode URL: https://leetcode.com/21R01A05L6/, LeetCode URL Exists: False
CodeChef Handle: ranjith_20, CodeChef URL: https://www.codechef.com/users/ranjith_20, CodeChef URL Exists: True
HackerRank Handle: 21r01a05l6, HackerRank URL: https://www.hackerrank.com/profile/21r01a05l6, HackerRank URL Exists: True
Codeforces Handle: 21r01a05m1, Codeforces URL: https://codeforces.com/, Codeforces URL Exists: False
GeeksForGeeks Handle: CMRIT25_21R01A05M1, GeeksForGeeks URL: https://auth.geeksforgeeks.org/?to=https://auth.geeksforgeeks.org/profile.php, GeeksForGeeks URL Exists: False
LeetCode Handle: 21R01A05M1, LeetCode URL: https://leetcode.com/21R01A05M1/, LeetCode URL Exists: False
CodeChef Handle: cmr_21r01a05m1, CodeChef URL: https://www.codechef.com/users/cmr_21r01a05m1, CodeChef URL Exists: True
HackerRank Handle: 21R01A05M1, HackerRank URL: https://www.hackerrank.com/profile/21R01A05M1, HackerRank URL Exists: True
Codeforces Handle: 21r01an1s6, Codeforces URL: https://codeforces.com/, Codeforces URL Exists: False
GeeksForGeeks Handle: CMRIT25_21R01A05M2, GeeksForGeeks URL: https://auth.geeksforgeeks.org/?to=https://auth.geeksforgeeks.org/profile.php, GeeksForGeeks URL Exists: False
LeetCode Handle: 21r01a05m2, LeetCode URL: https://leetcode.com/21r01a05m2/, LeetCode URL Exists: False
CodeChef Handle: r01a05m2, CodeChef URL: https://www.codechef.com/users/r01a05m2, CodeChef URL Exists: True
HackerRank Handle: 21r01a05m2, HackerRank URL: https://www.hackerrank.com/profile/21r01a05m2, HackerRank URL Exists: True
Codeforces Handle: 21r01a4b5o, Codeforces URL: https://codeforces.com/, Codeforces URL Exists: False
GeeksForGeeks Handle: #N/A, GeeksForGeeks URL: N/A, GeeksForGeeks URL Exists: False
LeetCode Handle: 21r01a05m3, LeetCode URL: https://leetcode.com/21r01a05m3/, LeetCode URL Exists: False
CodeChef Handle: gowthami_2003, CodeChef URL: https://www.codechef.com/users/gowthami_2003, CodeChef URL Exists: True
HackerRank Handle: 21R01A05M3, HackerRank URL: https://www.hackerrank.com/profile/21R01A05M3, HackerRank URL Exists: True
Codeforces Handle: 21r01acgdz, Codeforces URL: https://codeforces.com/, Codeforces URL Exists: False
GeeksForGeeks Handle: CMRIT25_21r01a05m4, GeeksForGeeks URL: https://auth.geeksforgeeks.org/?to=https://auth.geeksforgeeks.org/profile.php, GeeksForGeeks URL Exists: False
LeetCode Handle: 21r01a05m4, LeetCode URL: https://leetcode.com/21r01a05m4/, LeetCode URL Exists: False
CodeChef Handle: sunil5m4, CodeChef URL: https://www.codechef.com/users/sunil5m4, CodeChef URL Exists: True
HackerRank Handle: 21r01a05m4, HackerRank URL: https://www.hackerrank.com/profile/21r01a05m4, HackerRank URL Exists: True
Codeforces Handle: 21r01a05m5, Codeforces URL: https://codeforces.com/, Codeforces URL Exists: False
GeeksForGeeks Handle: CMRIT25_21R01A05M5, GeeksForGeeks URL: https://auth.geeksforgeeks.org/?to=https://auth.geeksforgeeks.org/profile.php, GeeksForGeeks URL Exists: False
LeetCode Handle: 21r01a05m5, LeetCode URL: https://leetcode.com/21r01a05m5/, LeetCode URL Exists: False
CodeChef Handle: hemanth_463, CodeChef URL: https://www.codechef.com/users/hemanth_463, CodeChef URL Exists: True
HackerRank Handle: 21r01a05m5, HackerRank URL: https://www.hackerrank.com/profile/21r01a05m5, HackerRank URL Exists: True
Codeforces Handle: 21r01acr0e, Codeforces URL: https://codeforces.com/, Codeforces URL Exists: False
GeeksForGeeks Handle: CMRIT25_21R01A05M6, GeeksForGeeks URL: https://auth.geeksforgeeks.org/?to=https://auth.geeksforgeeks.org/profile.php, GeeksForGeeks URL Exists: False
LeetCode Handle: 21r01a05m6, LeetCode URL: https://leetcode.com/21r01a05m6/, LeetCode URL Exists: False
CodeChef Handle: r01a05m6, CodeChef URL: https://www.codechef.com/users/r01a05m6, CodeChef URL Exists: True
HackerRank Handle: 21r01a05m6, HackerRank URL: https://www.hackerrank.com/profile/21r01a05m6, HackerRank URL Exists: True
Codeforces Handle: 21r01a05m7, Codeforces URL: https://codeforces.com/profile/21r01a05m7, Codeforces URL Exists: True
GeeksForGeeks Handle: 21r01a05m7, GeeksForGeeks URL: https://auth.geeksforgeeks.org/user/21r01a05m7, GeeksForGeeks URL Exists: True
LeetCode Handle: 21R01A05M7, LeetCode URL: https://leetcode.com/21R01A05M7/, LeetCode URL Exists: False
CodeChef Handle: prasad_00, CodeChef URL: https://www.codechef.com/users/prasad_00, CodeChef URL Exists: True
HackerRank Handle: 21r01a05m7, HackerRank URL: https://www.hackerrank.com/profile/21r01a05m7, HackerRank URL Exists: True
Codeforces Handle: 21r01a05m8, Codeforces URL: https://codeforces.com/, Codeforces URL Exists: False
GeeksForGeeks Handle: CMRIT25_21R01A05M8, GeeksForGeeks URL: https://auth.geeksforgeeks.org/?to=https://auth.geeksforgeeks.org/profile.php, GeeksForGeeks URL Exists: False
LeetCode Handle: 21R01A05M8, LeetCode URL: https://leetcode.com/21R01A05M8/, LeetCode URL Exists: False
CodeChef Handle: sahithi_136, CodeChef URL: https://www.codechef.com/users/sahithi_136, CodeChef URL Exists: True
HackerRank Handle: 21r01a05m8, HackerRank URL: https://www.hackerrank.com/profile/21r01a05m8, HackerRank URL Exists: True
Codeforces Handle: 21r01a05m9, Codeforces URL: https://codeforces.com/profile/21r01a05m9, Codeforces URL Exists: True
GeeksForGeeks Handle: 21R01A05M9, GeeksForGeeks URL: https://auth.geeksforgeeks.org/user/21R01A05M9, GeeksForGeeks URL Exists: True
LeetCode Handle: 21r01a05m9, LeetCode URL: https://leetcode.com/21r01a05m9/, LeetCode URL Exists: False
CodeChef Handle: vishnu93, CodeChef URL: https://www.codechef.com/users/vishnu93, CodeChef URL Exists: True
HackerRank Handle: 21R01A05M9, HackerRank URL: https://www.hackerrank.com/profile/21R01A05M9, HackerRank URL Exists: True
Codeforces Handle: 21R01A05N4, Codeforces URL: https://codeforces.com/, Codeforces URL Exists: False
GeeksForGeeks Handle: 21R01A05N4, GeeksForGeeks URL: https://auth.geeksforgeeks.org/user/21R01A05N4, GeeksForGeeks URL Exists: True
LeetCode Handle: Bhargavi, LeetCode URL: https://leetcode.com/Bhargavi/, LeetCode URL Exists: False
CodeChef Handle: Bhargavi, CodeChef URL: https://www.codechef.com/users/Bhargavi, CodeChef URL Exists: True
HackerRank Handle: Bhargavi, HackerRank URL: https://www.hackerrank.com/profile/Bhargavi, HackerRank URL Exists: True
Codeforces Handle: 21r01aw4dd, Codeforces URL: https://codeforces.com/, Codeforces URL Exists: False
GeeksForGeeks Handle: Cmrit25_21r01a05n5, GeeksForGeeks URL: https://auth.geeksforgeeks.org/?to=https://auth.geeksforgeeks.org/profile.php, GeeksForGeeks URL Exists: False
LeetCode Handle: 21R01A05N5, LeetCode URL: https://leetcode.com/21R01A05N5/, LeetCode URL Exists: False
CodeChef Handle: r01a05n5, CodeChef URL: https://www.codechef.com/users/r01a05n5, CodeChef URL Exists: True
HackerRank Handle: 21r01a05n5, HackerRank URL: https://www.hackerrank.com/profile/21r01a05n5, HackerRank URL Exists: True
Codeforces Handle: 21r01a05n6, Codeforces URL: https://codeforces.com/, Codeforces URL Exists: False
GeeksForGeeks Handle: #N/A, GeeksForGeeks URL: N/A, GeeksForGeeks URL Exists: False
LeetCode Handle: 21r01a05n6, LeetCode URL: https://leetcode.com/21r01a05n6/, LeetCode URL Exists: False
CodeChef Handle: cmr_21r01a05n6, CodeChef URL: https://www.codechef.com/users/cmr_21r01a05n6, CodeChef URL Exists: True
HackerRank Handle: 21r01a05n6, HackerRank URL: https://www.hackerrank.com/profile/21r01a05n6, HackerRank URL Exists: True
Codeforces Handle: 21r01a05n7, Codeforces URL: https://codeforces.com/, Codeforces URL Exists: False
GeeksForGeeks Handle: CMRIT25_21R01A05N7, GeeksForGeeks URL: https://auth.geeksforgeeks.org/?to=https://auth.geeksforgeeks.org/profile.php, GeeksForGeeks URL Exists: False
LeetCode Handle: 21r01a05n7, LeetCode URL: https://leetcode.com/21r01a05n7/, LeetCode URL Exists: False
CodeChef Handle: cmr_21r01a05n7, CodeChef URL: https://www.codechef.com/users/cmr_21r01a05n7, CodeChef URL Exists: True
HackerRank Handle: 21R01A05N7, HackerRank URL: https://www.hackerrank.com/profile/21R01A05N7, HackerRank URL Exists: True
Codeforces Handle: karthik_51, Codeforces URL: https://codeforces.com/, Codeforces URL Exists: False
GeeksForGeeks Handle: CMRIT25-21r01a05n8, GeeksForGeeks URL: https://auth.geeksforgeeks.org/?to=https://auth.geeksforgeeks.org/profile.php, GeeksForGeeks URL Exists: False
LeetCode Handle: karthik_51, LeetCode URL: https://leetcode.com/karthik_51/, LeetCode URL Exists: False
CodeChef Handle: karthik_51, CodeChef URL: https://www.codechef.com/users/karthik_51, CodeChef URL Exists: True
HackerRank Handle: 21r01a05n8, HackerRank URL: https://www.hackerrank.com/profile/21r01a05n8, HackerRank URL Exists: True
Codeforces Handle: 21r01a05n9, Codeforces URL: https://codeforces.com/profile/21r01a05n9, Codeforces URL Exists: True
GeeksForGeeks Handle: 21r01a05n9, GeeksForGeeks URL: https://auth.geeksforgeeks.org/user/21r01a05n9, GeeksForGeeks URL Exists: True
LeetCode Handle: 21r01a05n9, LeetCode URL: https://leetcode.com/21r01a05n9/, LeetCode URL Exists: False
CodeChef Handle: manohar1012, CodeChef URL: https://www.codechef.com/users/manohar1012, CodeChef URL Exists: True
HackerRank Handle: 21r01a05n9, HackerRank URL: https://www.hackerrank.com/profile/21r01a05n9, HackerRank URL Exists: True
Codeforces Handle: 21r01az74y, Codeforces URL: https://codeforces.com/, Codeforces URL Exists: False
GeeksForGeeks Handle: 21R01A05P0, GeeksForGeeks URL: https://auth.geeksforgeeks.org/?to=https://auth.geeksforgeeks.org/profile.php, GeeksForGeeks URL Exists: False
LeetCode Handle: shva7, LeetCode URL: https://leetcode.com/shva7/, LeetCode URL Exists: False
CodeChef Handle: cmr_21r01a05p0, CodeChef URL: https://www.codechef.com/users/cmr_21r01a05p0, CodeChef URL Exists: True
HackerRank Handle: 21r01a05p0, HackerRank URL: https://www.hackerrank.com/profile/21r01a05p0, HackerRank URL Exists: True
Codeforces Handle: #N/A, Codeforces URL: N/A, Codeforces URL Exists: False
GeeksForGeeks Handle: #N/A, GeeksForGeeks URL: N/A, GeeksForGeeks URL Exists: False
LeetCode Handle: #N/A, LeetCode URL: N/A, LeetCode URL Exists: False
CodeChef Handle: #N/A, CodeChef URL: N/A, CodeChef URL Exists: False
HackerRank Handle: Pavan, HackerRank URL: https://www.hackerrank.com/profile/Pavan, HackerRank URL Exists: True
Codeforces Handle: 21r01a05p4, Codeforces URL: https://codeforces.com/, Codeforces URL Exists: False
GeeksForGeeks Handle: CMRIT25_21R01A05P4, GeeksForGeeks URL: https://auth.geeksforgeeks.org/?to=https://auth.geeksforgeeks.org/profile.php, GeeksForGeeks URL Exists: False
LeetCode Handle: 21r01a05p4, LeetCode URL: https://leetcode.com/21r01a05p4/, LeetCode URL Exists: False
CodeChef Handle: cmr_21r01a05p4, CodeChef URL: https://www.codechef.com/users/cmr_21r01a05p4, CodeChef URL Exists: True
HackerRank Handle: 21r01a05p4, HackerRank URL: https://www.hackerrank.com/profile/21r01a05p4, HackerRank URL Exists: True
Codeforces Handle: 21r01a05p5, Codeforces URL: https://codeforces.com/, Codeforces URL Exists: False
GeeksForGeeks Handle: CMRIT25_21R01A05P5, GeeksForGeeks URL: https://auth.geeksforgeeks.org/?to=https://auth.geeksforgeeks.org/profile.php, GeeksForGeeks URL Exists: False
LeetCode Handle: 21R01A05P5, LeetCode URL: https://leetcode.com/21R01A05P5/, LeetCode URL Exists: False
CodeChef Handle: cmr_21r01a05p5, CodeChef URL: https://www.codechef.com/users/cmr_21r01a05p5, CodeChef URL Exists: True
HackerRank Handle: 21r01a05p5, HackerRank URL: https://www.hackerrank.com/profile/21r01a05p5, HackerRank URL Exists: True
Codeforces Handle: 21r01a05p6, Codeforces URL: https://codeforces.com/, Codeforces URL Exists: False
GeeksForGeeks Handle: #N/A, GeeksForGeeks URL: N/A, GeeksForGeeks URL Exists: False
LeetCode Handle: 21R01A05P6, LeetCode URL: https://leetcode.com/21R01A05P6/, LeetCode URL Exists: False
CodeChef Handle: nainika_215p6, CodeChef URL: https://www.codechef.com/users/nainika_215p6, CodeChef URL Exists: True
HackerRank Handle: 21r01a05p6, HackerRank URL: https://www.hackerrank.com/profile/21r01a05p6, HackerRank URL Exists: True
Codeforces Handle: rohan_adepu, Codeforces URL: https://codeforces.com/, Codeforces URL Exists: False
GeeksForGeeks Handle: CMRIT25_21R01A05P8, GeeksForGeeks URL: https://auth.geeksforgeeks.org/?to=https://auth.geeksforgeeks.org/profile.php, GeeksForGeeks URL Exists: False
LeetCode Handle: 21r01a05p8@cmritonline.ac.in, LeetCode URL: https://leetcode.com/21r01a05p8@cmritonline.ac.in, LeetCode URL Exists: False
CodeChef Handle: rohan_adepu, CodeChef URL: https://www.codechef.com/users/rohan_adepu, CodeChef URL Exists: True
HackerRank Handle: 21R01A05P8rohan, HackerRank URL: https://www.hackerrank.com/profile/21R01A05P8rohan, HackerRank URL Exists: True
Codeforces Handle: 21r01a05p9, Codeforces URL: https://codeforces.com/profile/21r01a05p9, Codeforces URL Exists: True
GeeksForGeeks Handle: 21r01a05p9, GeeksForGeeks URL: https://auth.geeksforgeeks.org/user/21r01a05p9, GeeksForGeeks URL Exists: True
LeetCode Handle: 21r01a05p9, LeetCode URL: https://leetcode.com/21r01a05p9/, LeetCode URL Exists: False
CodeChef Handle: hari05p9, CodeChef URL: https://www.codechef.com/users/hari05p9, CodeChef URL Exists: True
